State,Date,New Cases,7-Day Moving Avg
Florida,Sep  2 2020,3546,3442
Florida,Sep  1 2020,2490,3383
Florida,Aug 31 2020,7205,3486
Florida,Aug 30 2020,1664,2842
Florida,Aug 29 2020,2576,2894
Florida,Aug 28 2020,3073,2948
Florida,Aug 27 2020,3545,3115
Florida,Aug 26 2020,3131,3259
Florida,Aug 25 2020,3211,3451
Florida,Aug 24 2020,2698,3573
Florida,Aug 23 2020,2025,3730
Florida,Aug 22 2020,2958,3816
Florida,Aug 21 2020,4239,3929
Florida,Aug 20 2020,4554,4205
Florida,Aug 19 2020,4477,4413
Florida,Aug 18 2020,4062,4647
Florida,Aug 17 2020,3799,5195
Florida,Aug 16 2020,2626,5463
Florida,Aug 15 2020,3750,5671
Florida,Aug 14 2020,6168,5998
Florida,Aug 13 2020,6012,6289
Florida,Aug 12 2020,6114,6489
Florida,Aug 11 2020,7897,6681
Florida,Aug 10 2020,5678,6320
Florida,Aug  9 2020,4082,6266
Florida,Aug  8 2020,6035,6361
Florida,Aug  7 2020,8211,6488
Florida,Aug  6 2020,7412,6644
Florida,Aug  5 2020,7456,6836
Florida,Aug  4 2020,5366,7158
Florida,Aug  3 2020,5303,7705
Florida,Aug  2 2020,4745,8235
Florida,Aug  1 2020,6923,8797
Florida,Jul 31 2020,9309,9111
Florida,Jul 30 2020,8753,9472
Florida,Jul 29 2020,9711,9955
Florida,Jul 28 2020,9193,9991
Florida,Jul 27 2020,9014,10041
Florida,Jul 26 2020,8679,10054
Florida,Jul 25 2020,9119,10276
Florida,Jul 24 2020,11839,10720
Florida,Jul 23 2020,12135,10466
Florida,Jul 22 2020,9959,10315
Florida,Jul 21 2020,9545,10836
Florida,Jul 20 2020,9107,10884
Florida,Jul 19 2020,10229,10880
Florida,Jul 18 2020,12231,11142
Florida,Jul 17 2020,10059,11535
Florida,Jul 16 2020,11076,11546
Florida,Jul 15 2020,13605,11553
Florida,Jul 14 2020,9887,10862
Florida,Jul 13 2020,9078,10853
Florida,Jul 12 2020,12061,10587
